Valor,Histo,HistoEc 
0,0,0 
1,0,6421 
2,0,23400573 
3,0,10143 
4,0,9147462 
5,0,15537 
6,0,0 
7,0,6632624 
8,0,2005833837 
9,0,120 
10,0,2005833044 
11,0,15924 
12,0,0 
13,0,14881 
14,0,6629845 
15,0,6628159 
16,0,6627996 
17,0,2005826784 
18,0,9144816 
19,0,6625774 
20,0,9959 
21,0,6635929 
22,0,9139597 
23,0,6624756 
24,0,2005828385 
25,0,2005843382 
26,0,639457890 
27,0,9117925 
28,0,8718 
29,0,6635255 
30,0,2005543911 
31,0,34078830 
32,0,6628330 
33,0,13955 
34,0,6630683 
35,0,6616396 
36,0,15689 
37,0,15690 
38,0,-587186570 
39,0,3801155 
40,0,5584959 
41,0,6633793 
42,0,33569777 
43,0,5046364 
44,0,-587186211 
45,0,6043670 
46,0,6632319 
47,0,7012467 
48,0,7288206 
49,0,6043337 
50,1,6895003 
51,0,7615171 
52,0,6760867 
53,0,6367078 
54,0,6367151 
55,2,4727744 
56,1,7555457 
57,0,10593 
58,2,10339 
59,0,9138690 
60,3,6040424 
61,3,6 
62,2,11834 
63,8,6633558 
64,6,7679903 
65,10,9122165 
66,16,10380 
67,21,10872 
68,35,10638 
69,53,10644 
70,53,10836 
71,123,11301 
72,273,11792 
73,628,12704 
74,1615,13211 
75,3446,0 
76,6261,14456 
77,10143,16834 
78,13134,127 
79,15537,18810 
80,16964,9109696 
81,17519,9131215 
82,16726,0 
83,15924,25551 
84,14881,0 
85,13481,9109504 
86,12407,27955 
87,11712,8 
88,11192,127 
89,10480,9142350 
90,10022,9134320 
91,9849,0 
92,9592,36664 
93,9193,0 
94,9277,127 
95,8640,9131168 
96,8495,40832 
97,8361,1 
98,8242,9134328 
99,8170,9134328 
100,8421,9155158 
101,8666,786434 
102,9084,1 
103,9899,9109760 
104,11129,44437 
105,12578,9128064 
106,13953,0 
107,14931,9150594 
108,15689,9128064 
109,15688,9128072 
110,15000,0 
111,14307,35893 
112,14542,0 
113,15343,9 
114,15359,32635 
115,14291,127 
116,13115,65536 
117,13594,9142280 
118,13913,0 
119,13651,31054 
120,12880,9110128 
121,10548,8 
122,9972,28938 
123,10050,9128071 
124,9060,127 
125,9221,29033 
126,9491,6619084 
127,10592,2006058684 
128,11320,1373860140 
129,10618,-2 
130,11015,6643762 
131,12816,2005817342 
132,14354,28594 
133,12093,64 
134,11445,9110212 
135,10338,6646262 
136,10872,0 
137,10638,9109504 
138,10644,32819 
139,10836,9128072 
140,11301,16842752 
141,11792,33678 
142,12704,0 
143,13211,127 
144,14456,16878636 
145,16834,0 
146,18801,0 
147,21051,6619084 
148,24561,9148328 
149,27955,1373860332 
150,32846,0 
151,36655,41107 
152,40760,2006082077 
153,45654,0 
154,44425,8 
155,40378,9179483 
156,35892,3 
157,32635,2005858089 
158,32775,64 
159,30927,0 
160,28929,49806 
161,29033,52 
162,27948,0 
163,27498,786432 
164,28542,9128072 
165,30042,53647 
166,31845,0 
167,33678,6616300 
168,35884,2005816318 
169,38200,248 
170,41107,639508437 
171,45155,786432 
172,49806,6616308 
173,53647,2005918258 
174,58605,9128100 
175,60191,0 
176,64455,60191 
177,66330,639449720 
178,70041,6616332 
179,70154,2004363121 
180,68170,9128100 
181,64341,64471 
182,60660,0 
183,53081,6617144 
184,47721,6617072 
185,44789,2004362728 
186,43390,0 
187,40977,6684098 
188,32623,6618184 
189,27665,2004362753 
190,23417,639449224 
191,21722,248 
192,23583,7602292 
193,19919,9134328 
194,14911,201115 
195,4637,9134444 
196,2199,9134328 
197,1230,3014701 
198,805,7340142 
199,640,9130320 
200,546,70154 
201,378,0 
202,268,0 
203,185,0 
204,173,6617144 
205,106,0 
206,88,68266 
207,73,24 
208,38,0 
209,29,6616364 
210,20,64 
211,10,0 
212,9,64341 
213,9,0 
214,10,0 
215,3,-1888179360 
216,7,30864690 
217,3,1981142620 
218,3,30925752 
219,2,1913054431 
220,3,30865092 
221,0,1913054431 
222,2,30865092 
223,2,53081 
224,1,0 
225,0,0 
226,1,0 
227,2,47737 
228,1,2 
229,1,0 
230,1,0 
231,0,44789 
232,0,0 
233,0,0 
234,0,0 
235,0,43390 
236,0,3014656 
237,0,5 
238,0,9110164 
239,0,9150481 
240,0,538837393 
241,0,538976294 
242,0,32750 
243,0,20 
244,0,9137361 
245,0,9110164 
246,0,9460744 
247,0,538517528 
248,0,21722 
249,0,0 
250,0,48004147 
251,0,15 
252,0,22179337 
253,0,24984284 
254,0,11489 
255,0,6 
