Valor,Histo,HistoEc 
0,0,0 
1,0,565 
2,0,1532 
3,0,2117 
4,0,656 
5,0,2087 
6,0,1010 
7,0,1164 
8,0,0 
9,0,4143 
10,0,0 
11,0,1909 
12,0,2180 
13,0,0 
14,0,0 
15,0,0 
16,0,5597 
17,0,0 
18,0,0 
19,0,3625 
20,0,0 
21,0,0 
22,0,0 
23,0,0 
24,0,0 
25,0,9197 
26,0,0 
27,0,3086 
28,0,0 
29,0,3013 
30,0,0 
31,0,0 
32,0,0 
33,0,0 
34,0,0 
35,0,0 
36,0,0 
37,0,12726 
38,0,0 
39,0,2821 
40,0,0 
41,0,2569 
42,0,0 
43,0,0 
44,0,0 
45,0,0 
46,0,0 
47,0,8228 
48,0,2536 
49,0,0 
50,0,2359 
51,0,0 
52,0,0 
53,0,0 
54,0,0 
55,0,7764 
56,0,0 
57,0,0 
58,0,3578 
59,0,0 
60,0,0 
61,0,0 
62,0,6919 
63,0,0 
64,0,2903 
65,0,0 
66,0,2917 
67,0,0 
68,0,0 
69,0,0 
70,0,0 
71,0,7151 
72,0,0 
73,0,3055 
74,0,0 
75,0,3169 
76,0,0 
77,0,0 
78,0,0 
79,0,0 
80,0,7044 
81,0,0 
82,0,3442 
83,0,0 
84,0,0 
85,0,3711 
86,0,0 
87,0,0 
88,0,0 
89,0,0 
90,0,0 
91,0,8924 
92,0,0 
93,0,0 
94,0,4324 
95,0,0 
96,0,0 
97,0,4463 
98,0,0 
99,0,0 
100,0,0 
101,0,0 
102,0,0 
103,0,0 
104,0,10594 
105,0,0 
106,0,0 
107,0,4857 
108,0,0 
109,0,0 
110,0,0 
111,0,5122 
112,0,0 
113,0,0 
114,0,0 
115,0,0 
116,0,0 
117,0,0 
118,0,10490 
119,0,0 
120,0,0 
121,0,0 
122,0,5420 
123,0,0 
124,0,0 
125,0,5410 
126,0,0 
127,0,0 
128,0,0 
129,0,0 
130,0,0 
131,0,0 
132,0,9359 
133,0,0 
134,0,0 
135,0,5213 
136,0,0 
137,0,0 
138,0,0 
139,1,4919 
140,1,0 
141,0,0 
142,1,0 
143,2,0 
144,1,7676 
145,1,0 
146,1,0 
147,2,4783 
148,0,0 
149,5,0 
150,6,4761 
151,27,0 
152,260,0 
153,101,0 
154,156,0 
155,1056,6477 
156,476,0 
157,1607,0 
158,510,4622 
159,656,0 
160,2087,0 
161,1010,4556 
162,1164,0 
163,4143,0 
164,1909,0 
165,2180,6330 
166,5597,0 
167,3625,0 
168,9197,4241 
169,3086,0 
170,3013,0 
171,12726,4197 
172,2821,0 
173,2569,0 
174,8228,0 
175,2536,5791 
176,2359,0 
177,7764,0 
178,3578,4258 
179,6919,0 
180,2903,3982 
181,2917,0 
182,7151,0 
183,3055,0 
184,3169,5660 
185,7044,0 
186,3442,0 
187,3711,4172 
188,8924,0 
189,4324,0 
190,4463,3716 
191,10594,0 
192,4857,0 
193,5122,5485 
194,10490,0 
195,5420,0 
196,5410,4095 
197,9359,0 
198,5213,2692 
199,4919,0 
200,7676,0 
201,4783,4021 
202,4761,0 
203,6477,0 
204,4622,5085 
205,4556,0 
206,6330,3464 
207,4241,0 
208,4197,0 
209,5791,3698 
210,4258,0 
211,3982,0 
212,5660,4757 
213,4172,0 
214,3716,3125 
215,5485,0 
216,4095,3195 
217,2692,0 
218,4021,0 
219,5085,4191 
220,3464,0 
221,3698,3014 
222,4757,0 
223,3125,2811 
224,3195,0 
225,4191,0 
226,3014,3601 
227,2811,2779 
228,3601,0 
229,2779,2399 
230,2399,0 
231,3192,3192 
232,2683,0 
233,1750,2683 
234,2457,1750 
235,2953,0 
236,2052,2457 
237,2249,0 
238,3242,2953 
239,2126,2052 
240,1903,0 
241,2545,2249 
242,1610,0 
243,1044,3242 
244,1437,2126 
245,1919,0 
246,1029,1903 
247,925,2545 
248,960,0 
249,494,2654 
250,270,1437 
251,239,0 
252,188,2948 
253,94,925 
254,53,2298 
255,84,84 
