Valor,Histo,HistoEc 
0,0,0 
1,0,1402 
2,0,0 
3,0,0 
4,0,0 
5,0,0 
6,0,0 
7,0,0 
8,0,0 
9,0,0 
10,0,253121 
11,0,27486 
12,0,26963 
13,0,23013 
14,0,23082 
15,0,31290 
16,0,25596 
17,0,24171 
18,0,25184 
19,0,27824 
20,0,21417 
21,0,30886 
22,0,25024 
23,0,12636 
24,0,35845 
25,0,26138 
26,0,0 
27,0,45281 
28,0,31296 
29,0,7556 
30,0,30136 
31,0,35341 
32,0,0 
33,0,37286 
34,0,37495 
35,0,35004 
36,0,8796 
37,0,34553 
38,0,0 
39,0,38401 
40,0,38121 
41,0,0 
42,0,39405 
43,0,48651 
44,0,0 
45,0,41325 
46,0,0 
47,0,49463 
48,0,0 
49,0,56771 
50,0,0 
51,0,0 
52,0,79926 
53,0,0 
54,0,55682 
55,0,0 
56,0,54869 
57,0,0 
58,0,43531 
59,0,0 
60,0,48322 
61,0,0 
62,0,48520 
63,0,0 
64,0,53459 
65,0,0 
66,0,0 
67,0,84999 
68,0,0 
69,0,43937 
70,0,0 
71,0,46885 
72,0,0 
73,0,45226 
74,0,44903 
75,0,0 
76,0,51465 
77,0,0 
78,0,0 
79,0,80652 
80,0,0 
81,0,43626 
82,0,0 
83,0,43826 
84,0,0 
85,4,44737 
86,24,48408 
87,111,0 
88,1263,0 
89,234171,79901 
90,2181,0 
91,4670,43316 
92,4652,0 
93,846,45149 
94,1680,0 
95,4921,48967 
96,5086,0 
97,2316,0 
98,4665,72354 
99,1395,0 
100,5775,50713 
101,5750,41400 
102,2499,10657 
103,5615,44756 
104,6074,0 
105,1472,0 
106,5269,68276 
107,2527,0 
108,6006,50057 
109,6845,0 
110,6472,49584 
111,1502,0 
112,5510,0 
113,2684,85213 
114,6486,0 
115,7645,47892 
116,7080,0 
117,1871,54454 
118,7041,0 
119,6988,0 
120,2956,62290 
121,6945,0 
122,7360,0 
123,1901,93900 
124,7585,0 
125,8222,0 
126,7888,63066 
127,6664,0 
128,2215,70875 
129,1045,0 
130,6568,0 
131,7679,81760 
132,8608,0 
133,8235,0 
134,8341,63342 
135,8056,0 
136,2010,61714 
137,7939,0 
138,9819,0 
139,10760,0 
140,10657,90246 
141,9323,0 
142,2362,61172 
143,9109,17606 
144,10092,0 
145,9463,0 
146,4166,81355 
147,8693,0 
148,2702,61375 
149,12636,0 
150,16251,0 
151,19594,59315 
152,26138,0 
153,45281,0 
154,31296,83806 
155,7556,0 
156,30136,60164 
157,35341,0 
158,37286,52503 
159,37495,16399 
160,35004,0 
161,8796,0 
162,34553,78583 
163,38401,0 
164,38121,0 
165,39405,68041 
166,38581,0 
167,10070,0 
168,41325,83714 
169,49463,0 
170,56771,63327 
171,79926,0 
172,55682,0 
173,44073,75308 
174,10796,15615 
175,43531,0 
176,48322,48513 
177,48520,0 
178,53459,56043 
179,70545,0 
180,14454,0 
181,43937,77047 
182,46885,0 
183,45226,54443 
184,44903,0 
185,51465,0 
186,66571,68021 
187,14081,44058 
188,43626,12741 
189,43826,0 
190,44737,60002 
191,48408,0 
192,65955,49994 
193,13946,0 
194,43316,0 
195,45149,64041 
196,48967,48553 
197,72354,0 
198,50713,0 
199,41400,59456 
200,10657,38042 
201,44756,10741 
202,68276,47943 
203,50057,0 
204,49584,38016 
205,69830,0 
206,15383,49506 
207,47892,37916 
208,54454,0 
209,62290,51456 
210,93900,29291 
211,63066,0 
212,53875,45357 
213,17000,0 
214,81760,0 
215,63342,0 
216,61714,0 
217,90246,0 
218,61172,0 
219,17606,0 
220,81355,0 
221,61375,0 
222,59315,0 
223,83806,0 
224,60164,0 
225,52503,0 
226,16399,0 
227,78583,0 
228,68041,0 
229,83714,0 
230,63327,0 
231,75308,0 
232,15615,0 
233,48513,0 
234,56043,0 
235,77047,0 
236,54443,0 
237,68021,0 
238,44058,0 
239,12741,0 
240,60002,0 
241,49994,0 
242,64041,0 
243,48553,0 
244,59456,0 
245,38042,0 
246,10741,0 
247,47943,0 
248,38016,0 
249,49506,0 
250,37916,0 
251,42500,0 
252,8956,0 
253,29291,0 
254,45357,0 
255,1092683,1092683 
