Valor,Histo,HistoEc 
0,0,0 
1,0,6301 
2,0,6261 
3,0,10143 
4,0,13134 
5,0,15537 
6,0,0 
7,0,16964 
8,0,17519 
9,0,0 
10,0,16726 
11,0,15924 
12,0,0 
13,0,14881 
14,0,13481 
15,0,12407 
16,0,11712 
17,0,11192 
18,0,10480 
19,0,10022 
20,0,9849 
21,0,18785 
22,0,9277 
23,0,8640 
24,0,8495 
25,0,16603 
26,0,8170 
27,0,8421 
28,0,8666 
29,0,18983 
30,0,11129 
31,0,0 
32,0,12578 
33,0,13953 
34,0,14931 
35,0,0 
36,0,15689 
37,0,15688 
38,0,15000 
39,0,0 
40,0,14307 
41,0,14542 
42,0,15343 
43,0,0 
44,0,15359 
45,0,14291 
46,0,13115 
47,0,0 
48,0,13594 
49,0,13913 
50,1,13651 
51,0,12880 
52,0,10548 
53,0,9972 
54,0,10050 
55,2,9060 
56,1,18712 
57,0,10592 
58,2,11320 
59,0,10618 
60,3,11015 
61,3,0 
62,2,12816 
63,8,14354 
64,6,12093 
65,10,11445 
66,16,10338 
67,21,10872 
68,35,10638 
69,53,10644 
70,53,10836 
71,123,11301 
72,273,11792 
73,628,12704 
74,1615,13211 
75,3446,0 
76,6261,14456 
77,10143,16834 
78,13134,0 
79,15537,18801 
80,16964,0 
81,17519,21051 
82,16726,0 
83,15924,24561 
84,14881,0 
85,13481,0 
86,12407,27955 
87,11712,0 
88,11192,0 
89,10480,32846 
90,10022,0 
91,9849,0 
92,9592,36655 
93,9193,0 
94,9277,0 
95,8640,0 
96,8495,40760 
97,8361,0 
98,8242,0 
99,8170,0 
100,8421,45654 
101,8666,0 
102,9084,0 
103,9899,0 
104,11129,44425 
105,12578,0 
106,13953,0 
107,14931,40378 
108,15689,0 
109,15688,0 
110,15000,0 
111,14307,35892 
112,14542,0 
113,15343,0 
114,15359,32635 
115,14291,0 
116,13115,0 
117,13594,32775 
118,13913,0 
119,13651,30927 
120,12880,0 
121,10548,0 
122,9972,28929 
123,10050,0 
124,9060,0 
125,9221,29033 
126,9491,0 
127,10592,27948 
128,11320,0 
129,10618,0 
130,11015,27498 
131,12816,0 
132,14354,28542 
133,12093,0 
134,11445,0 
135,10338,30042 
136,10872,0 
137,10638,0 
138,10644,31845 
139,10836,0 
140,11301,0 
141,11792,33678 
142,12704,0 
143,13211,0 
144,14456,35884 
145,16834,0 
146,18801,0 
147,21051,0 
148,24561,38200 
149,27955,0 
150,32846,0 
151,36655,41107 
152,40760,0 
153,45654,0 
154,44425,0 
155,40378,45155 
156,35892,0 
157,32635,0 
158,32775,0 
159,30927,0 
160,28929,49806 
161,29033,0 
162,27948,0 
163,27498,0 
164,28542,0 
165,30042,53647 
166,31845,0 
167,33678,0 
168,35884,0 
169,38200,0 
170,41107,58605 
171,45155,0 
172,49806,0 
173,53647,0 
174,58605,0 
175,60191,0 
176,64455,60191 
177,66330,0 
178,70041,0 
179,70154,0 
180,68170,0 
181,64341,64455 
182,60660,0 
183,53081,0 
184,47721,0 
185,44789,0 
186,43390,0 
187,40977,66330 
188,32623,0 
189,27665,0 
190,23417,0 
191,21722,0 
192,23583,0 
193,19919,0 
194,14911,70041 
195,4637,0 
196,2199,0 
197,1230,0 
198,805,0 
199,640,0 
200,546,70154 
201,378,0 
202,268,0 
203,185,0 
204,173,0 
205,106,0 
206,88,68170 
207,73,0 
208,38,0 
209,29,0 
210,20,0 
211,10,0 
212,9,64341 
213,9,0 
214,10,0 
215,3,0 
216,7,0 
217,3,0 
218,3,60660 
219,2,0 
220,3,0 
221,0,0 
222,2,0 
223,2,53081 
224,1,0 
225,0,0 
226,1,0 
227,2,47721 
228,1,0 
229,1,0 
230,1,0 
231,0,44789 
232,0,0 
233,0,0 
234,0,0 
235,0,43390 
236,0,0 
237,0,0 
238,0,0 
239,0,40977 
240,0,0 
241,0,0 
242,0,32623 
243,0,0 
244,0,27665 
245,0,0 
246,0,23417 
247,0,0 
248,0,21722 
249,0,0 
250,0,23583 
251,0,0 
252,0,19919 
253,0,14911 
254,0,11484 
255,0,1 
